k0_variation,delta_h_variation,k0_actual,delta_h_actual,cA_steady,T_steady
0.8,0.8,6768000.0,-9200.0,0.9909978320715489,426.76356540376975
0.8,0.9,6768000.0,-10350.0,0.8913125612382711,436.2490051636314
0.8,1.0,6768000.0,-11500.0,0.7915257372625375,446.7358943845967
0.8,1.1,6768000.0,-12650.000000000002,0.6972995535944301,457.9117006576703
0.8,1.2,6768000.0,-13800.0,0.6121794080998533,469.4817399314249
0.9,0.8,7614000.0,-9200.0,0.9235548137219514,429.4457941353946
0.9,0.9,7614000.0,-10350.0,0.8258660813298805,439.181406607349
0.9,1.0,7614000.0,-11500.0,0.7309826377015995,449.74988707551904
0.9,1.1,7614000.0,-12650.000000000002,0.6431905075725017,460.87486406793977
0.9,1.2,7614000.0,-13800.0,0.5648613443177007,472.30857365660904
1.0,0.8,8460000.0,-9200.0,0.8665376783892791,431.71668164670916
1.0,0.9,8460000.0,-10350.0,0.7717653224118619,441.6053749990091
1.0,1.0,8460000.0,-11500.0,0.6815960432697197,452.2085675791426
1.0,1.1,8460000.0,-12650.000000000002,0.5993490993680599,463.27568279189774
1.0,1.2,8460000.0,-13800.0,0.5265477788838865,474.59768630352784
1.1,0.8,9306000.0,-9200.0,0.8178937595712055,433.65401356465037
1.1,0.9,9306000.0,-10350.0,0.7262638778249088,443.6440941946354
1.1,1.0,9306000.0,-11500.0,0.6404484081131663,454.2571193923144
1.1,1.1,9306000.0,-12650.000000000002,0.5629698129073456,465.2688208254498
1.1,1.2,9306000.0,-13800.0,0.4947812358268358,476.4952422425537
1.2,0.8,10152000.0,-9200.0,0.775906543804091,435.32626297450616
1.2,0.9,10152000.0,-10350.0,0.6874102637454291,445.3849413690323
1.2,1.0,10152000.0,-11500.0,0.6055196549153696,455.9959145495839
1.2,1.1,10152000.0,-12650.000000000002,0.5321406435992272,466.9593033882273
1.2,1.2,10152000.0,-13800.0,0.46784656736837454,478.1102084423337
